"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Burgenland";"Zurndorf";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. „Durchgangslager“ Zurndorf war erstes Etappenziel für ungarische Juden in Österreich, hier Übergabe von ungarischen „Behörden“ an SS-Kommando zum";"";"";"";""
"Burgenland";"Weitertransport";"Lager möglicherweise im Umfeld des jetzigen Bahnhofes Zurndorf";"Zwei Maschinenschuppen, von denen einer angeblich noch steht. Möglicherweise bis zu 700 Massengräber im Areal";"KG Zurndorf, 32028";"";"";""
"Burgenland";"Schlachthausgasse";"Brettl 2012, 372";"";"";"";"";"https://www.forschenunderinnern-burgenland.at/index.php/zurndorf/ das-provisorische-lager-und-die-massengraeber-von-zurndorf"
"Kärnten";"Arnoldstein";"Arnoldstein BBU";"Arbeitsstätte von Kriegsgefangenen und Zwangsarbeitern. Von den 250 Arbeitern der Betriebe der Bleiberg-Union waren 50 % Zwangsarbeiter, darunter französische, italienische und sowjetische Kriegsgefangene";"KG Arnoldstein, 75402. Industriestraße";"1057/21, 1057/64, 1234/11 u. a";"13,693818, 46,556865";"Schubert 2002, 18"
"Kärnten";"Eisenkappel-Vellach";"Rechberg";"Arbeitsstätte von Zwangsarbeitern. Zellstofffabrik Obir, mit ukrainischen und russischen Zwangsarbeitern. Zellstofffabrik Obir";"KG Blasnitzen, 76204. Obere Blasnitzen";"363/3, 363/7, 363/8 u. a";"14,578819, 46,518552";"Schubert 2002, 100"
"Kärnten";"Feistritz im Rosental";"Akkumulatorenfabrik Feistritz";"Arbeitsstätte von Kriegsgefangenen und Zwangsarbeitern. Über 50 französische Kriegsgefangene und an die 40 Zwangsarbeiter, vornehmlich aus der Ukraine und";"";"";"";""
"Kärnten";"Russland in der Akkumulatorenfabrik Dr";"Leopold Jungfer";"";"KG Feistritz im Rosental, 72001. Dr.-Leopold-Jungfer- Straße";"49/1, .49/2, .51/1, .51/2, .53, .56, .57, 514/1, 517/1, 518/1, 518/2, 518/3, 521/1, 525/1, 527, 549/30, 733";"14,171902, 46,518969";"Danglmaier und Koroschitz 2015, 296–297, 305–306; Umweltbundesamt, Altstandort „Jungfer Akkumulatorenfabrik“. https://www.ris.bka.gv.at/Dokumente/Begut/BEGUT_COO_2026_100_2_610176/ COO_2026_100_2_610218.pdf"
"Kärnten";"Feistritz im Rosental";"Lager Feistritz im Rosental";"Kriegsgefangene und Zwangsarbeiter. Das zugehörige Lager zur Arbeitsstätte der Fabrik Dr. Leopold Jungfer, auf dem Gelände der Firma Dr. Jungfer";"KG Feistritz im Rosental, 72001. Dr.-Leopold-Jungfer-Straße";"527/1";"14,172188, 46,519448";"Danglmaier und Koroschitz 2015, 296–297; Schubert 2002, 34"
"Kärnten";"Feldkirchen in Kärnten";"Poitschach";"Arbeitsstätte von Zwangsarbeitern. Verlagerungsort der Wiener Neustädter Flugzeugwerke mit Zwangsarbeitern";"KG Waiern, 72344. Poitschach-Baracke";"1250/8";"14,083525, 46,750931";"Schubert 2002, 97. www.geheimprojekte.at"
"Kärnten";"Feldkirchen in Kärnten";"Waiern";"Umerziehungslager. Nationalsozialistisches Umerziehungsheim für Kinder in dem beschlagnahmten Kinderheim der Diakonie";"KG Waiern, 72344. Martin Lutherstraße 12";"166";"14,086148, 46,733106";"Rafetseder 2007, 333 und 680; Danglmaier und Koroschitz 2015, 155–156"
"Kärnten";"Ferlach";"Ferlach";"Kriegsgefangene und Zwangsarbeiter. Arbeitslager der KESTAG, französische Kriegsgefangene und Zwangsarbeiter";"KG Ferlach, 72002. Loiblstraße 53";"334/1";"14,296528, 46,517064";"Schubert 2002, 35"
"Kärnten";"Ferlach";"KZ Loibl-Nord";"KZ-Häftlinge. Außenlager von Mauthausen, fünf Häftlingsbaracken und andere Gebäude, auch Krematorium. Relikte des Lagers, zum Beispiel Stacheldrahtzaun. Im Bereich der Loiblpassstraße zwischen Unterloibl und Passhöhe im Bereich der SG Ferlach";"KG Loiblthal, 72009. Loiblpass";"173/94, 173/99";"14,2518, 46,444";"Zausnig 1995; Theune-Vogt u. a. 2012; Theune 2013; Danglmaier und Koroschitz 2015, 309–324; Theune 2016; Bundesdenkmalamt Zl. 42501, Dokumentation Ortsakten Bundesdenkmalamt Wien und Klagenfurt, Mnr. 72009.12.01, 72009.13.01, 72009.18.01"
"Kärnten";"Ferlach";"Ferlach";"Kriegsgefangene und Zwangsarbeiter. Arbeitslager der KESTAG, französische Kriegsgefangene und Zwangsarbeiter";"KG Ferlach, 72002. Loiblstraße 53";"334/1";"14,296528, 46,517064";"Schubert 2002, 35"
"Kärnten";"Ferlach";"KZ Loibl-Nord";"KZ-Häftlinge. Außenlager von Mauthausen, fünf Häftlingsbaracken und andere Gebäude, auch Krematorium. Relikte des Lagers, zum Beispiel Stacheldrahtzaun. Im Bereich der Loiblpassstraße zwischen Unterloibl und Passhöhe im Bereich der SG Ferlach";"KG Loiblthal, 72009. Loiblpass";"173/94, 173/99";"14,2518, 46,444";"Zausnig 1995; Theune-Vogt u. a. 2012; Theune 2013; Danglmaier und Koroschitz 2015, 309–324; Theune 2016; Bundesdenkmalamt Zl. 42501, Dokumentation Ortsakten Bundesdenkmalamt Wien und Klagenfurt, Mnr. 72009.12.01, 72009.13.01, 72009.18.01. Ferlach: KZ Loibl-Nord Tunnel. Arbeitsstätte von KZ-Häftlingen. Errichtung des Loiblpasstunnels nach Slowenien, nicht fertiggestellt. KG Loiblthal, 72009. Loiblpass. 324/1. 14,258056, 46,456121. Zausnig 1995; Theune 2016; Danglmaier und Koroschitz 2015, 309–324"
"Kärnten";"Frantschach-Sankt Gertraud";"Frantschach Papierfabrik";"Kriegsgefangenen, auch Zwangsarbeiter. Nebenlager des STALAG Wolfsberg, Lage unklar";"";"";"";"Klösch 2013, 64"
"Kärnten";"Friesach";"Friesach, Flachsverarbeitung";"Arbeitsstätte von Zwangsarbeiter:innen, Unterkunft unbekannt, Lage unklar. www.sv.or.at/detail/ehemalige-zwangsarbeiterin-besucht-nach-ueber-70-jahren-st-veitglan";"";"";"";""
"Kärnten";"Friesach";"Nachbauer Friesach";"Arbeitsstätte von Zwangsarbeitern. Auf einer Friesacher Baustelle der Grazer Firma Nachbauer";"KG Friesach, 74302. Lage unklar";"";"14,406056, 46,950708";"Rafetseder 2014, 352"
"Kärnten";"Friesach";"Umschulungslager Friesach";"Zwangsarbeiterinnen. Umschulungswerkstätte vor allem für Frauen aus der Sowjetunion. Lage unklar";"KG Friesach, 74032";"";"14,406056, 46,950708";"Rafetseder 2014, 430"
"Kärnten";"Gmünd in Kärnten";"Porsche Konstruktionen GmbH";"Arbeitsstätte, vermutlich mit Zwangsarbeitern. Verlagerung des Porsche Konstruktionsbüros, Porsche Konstruktionen GmbH";"KG Gmünd, 73004. Karner Au 8";"228";"13,529637, 46,921768";"www.geheimprojekte.at"
"Kärnten";"Greifenburg";"Gefängnis Greifenburg";"Opferstätte. Im Gefängnis von Greifenburg wurden Häftlinge gefoltert und in die KZ und Euthanasieanstalten abtransportiert. Lage unklar";"KG Greifenburg, 73111";"";"13,17749, 46,749268";"http://www.aegide.at/files/files/Texte/Pirker_Der_Nationalsozialismus_im_Oberen_Drautal.pdf. 40-44"
"Kärnten";"Griffen";"RAD-Lager Griffen";"RAD-Lager 6/361";"KG Griffnerthal, 76307. Völkermarkter Straße";"370/1, 370/5 u. a";"14,727641, 46,702137";"www.griffen.gv.at/Peter_Handke/Griffen/Griffen_Geschichte"
"Kärnten";"Griffen";"St";"Leonhard an der Saualpe. Zwangsarbeiter. Glimmerbergbau mit russischen Zwangsarbeitern. Lage der Unterkunft unklar";"KG Wölfnitz, 76343";"";"";"Schubert 2002, 110"
"Kärnten";"Hermagor-Pressegger See";"RAD-Lager Hermagor";"Arbeitsmaiden-Lager";"KG Hermagor, 75005. Hauptstraße 65";"511/4";"13,362413, 46,627413";"Gitschtaler 2010, 31"
"Kärnten";"Hermagor-Pressegger See";"RAD-Lager Kühweg";"RAD-Lager 2/362";"KG Möderndorf, 75010. Kühweg";"299, 303, 1208/12";"13,365467, 46,620415";"Gitschtaler 2010, 33"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Ebenthal";"Slowen:innen. Sammellager. Kärntner Slowen:innen wurden im RAD-Lager 917 festgehalten und von dort in verschiedene Lager verschickt. Barackenlager";"KG St. Ruprecht bei Klagenfurt, 72175. Ebenthaler Straße 126";"616/1, 616/3, 617/1";"14,333092, 46,615052";"Danglmaier und Koroschitz 2015, 198–204. http://www.erinnern.at/bundeslaender/kaernten/bibliothek/dokumente/Stadtplan%20 Legende.pdf"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Gestapoleitstelle";"Opferstätte. Neben den Büroräumen gab es auch";"";"";"";""
"Kärnten";"Verhörräume und einen kleinen Zellenbereich";"Folter";"Alte Burg, Gestapoleitstelle in der Alten Burg, heute Museum Moderner Kunst Kärnten";"KG Klagenfurt, 72127. Burggasse 8";"9";"14,30724, 46,627335";"Danglmaier und Koroschitz 2015, 151–152; Danglmaier und Stromberger o. J., 27–30. https://www.erinnern.at/bundeslaender/ kaernten/unterrichtsmaterial/orte-der-nationalsozialistischen-gewalt-in-klagenfurt"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Hirschenwirtstraße";"Zwangsarbeiter. Zwangsarbeiterlager für Zwangsarbeiter der Wiener Neustädter Flugzeugwerke";"KG Waidmannsdorf, 72195. Hirschenwirtstraße 51";"450/1, 450/5, 450/7, 450/8, 450/9";"14,293686, 46,611792";"Schubert 2002, 63"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt St";"Veiterring. Opferstätte. Gestapo- und Gaugefängnis. St. Veiter Ring, heute Justizanstalt";"KG Klagenfurt, 72127. Purtscherstraße 2";"373";"14,30724, 46,627335";"Danglmaier und Stromberger o. J., 27–30"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Sattnitz";"Arbeitsstätte von Kriegsgefangenen. Kriegsgefangene des Lagers Waidmannsdorf entwässerten unter anderem die Schwemmgebiete der Sattnitz im Süden Kärntens";"KG Waidmannsdorf, 72195";"";"14,301433, 46,601606";"Danglmaier und Koroschitz 2015, 297"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Spital I";"Euthanasie-Standort. Ab 1939 ca. einmal pro Woche aktive Sterbehilfe, 1940/1941 Bahntransporte nach Hartheim, OÖ, 1942 bis 1945 regelmäßig Morde an Kranken. Gausiechenhaus, heute Geriatrie Klagenfurt";"KG Klagenfurt, 72127. Kraßniggstraße 2";"242/1";"14,302528, 46,632126";"Rafetseder 2014, 672; Danglmaier und Stromberger o. J., 64"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Spital II";"Zwangsarbeit. Arbeitsstätte von Patienten im heutigen Areal des LKH Klagenfurt. Gaukrankenhaus, heute LKH Klagenfurt";"KG Klagenfurt, 72127. St. Veiter Straße–Feschnigstraße";"280/4";"14,305364, 46,633774";"Danglmaier und Stromberger o. J., 65 ff"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Waidmannsdorf";"Kriegsgefangene und Zwangsarbeiter:innen. Ausgedehntes Lagerareal für Zwangsarbeiter:innen und Kriegsgefangene im gleichnamigen Stadtteil. Außenlager des STALAG Wolfsberg";"KG Waidmannsdorf, 72195. Hubertusstraße 71";"309/7, 309/8, 309/11";"14,2824, 46,608763";"Danglmaier und Koroschitz 2015, 297; Danglmaier und Stromberger o. J., 77. http://www.erinnern.at/bundeslaender/kaernten/unterrichtsmaterial/Teil2fertig.pdf"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt War Cemetery";"Friedhof für Kriegsgefangene aus Großbritannien beziehungsweise dem Commonwealth";"KG Waidmannsdorf, 72195";"207/3";"14,273684, 46,618338";"Danglmaier und Stromberger o. J., 93–96"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt Welzenegg";"Zwangsarbeiterlager oder Kriegsgefangenenlager? Lage unklar?";"KG Welzenegg, 72198";"";"14,332323, 46,628256";"Kastner 2011, 62; Rafetseder 2014, 27"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt, Flughafen";"Kriegsgefangene und Zwangsarbeiter. Luftwaffenlager auch für Bau. Riesiges Barackenlager des Fliegerhorsts Annabichl (angeblich 136 Baracken) im Westen und";"";"";"";""
"Kärnten";"Nordwesten des Flugplatzes";"Unklar ob Zwangsarbeiter oder Kriegsgefangene";"";"KG Marolla, 72142. Flughafenstraße";"62/1, 306/1, 306/2, 306/3, 330/6, 340/2, 340/9, 410, 1507/2";"14,321845, 46,649946";"Mappe Klever Bundesdenkmalamt Kärnten"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt, Polizeigefängnis";"Zellen und Folter im Polizeigefängnis";"KG Klagenfurt, 72127. St. Ruprechter Straße 3";"491";"14,307473, 46,619894";"Danglmaier und Stromberger o. J., 33–34"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt";"Arbeitsstätte von Zwangsarbeitern. Klagenfurter Zweigwerk der Wr. Neustädter Flugzeugwerke beziehungsweise für Messerschmitt, Herstellung von Kleinaggregaten in einer ehemaligen Tabakfabrik, heute auf dem Gelände von GKK und Finanzamt";"KG Klagenfurt, 72127. Kempfstraße 8";"560/16";"14,310714, 46,618932";"Rafetseder 2007, 473"
"Kärnten";"Klagenfurt am Wörthersee";"Klagenfurt-Lendorf";"KZ-Häftlinge. Außenlager von Mauthausen. Kasernenbau für die Waffen-SS, 130 Internierte, Stacheldrahtzaun, Wachtürme Häftlingsbaracke";"KG Lendorf, 72136. Koglstraße";"585";"14,2835, 46,6499";"Gstettner 2001; Benz und Distel 2006, 384–386; Maršálek 1995; Danglmaier und Stromberger o. J., 77; Danglmaier und Koroschitz 2015, 325–334"
"Kärnten";"Klagenfurt am Wörthersee";"Luftschutzstollen Bergbau";"Opferstätte. In der Verfüllung des Stollens Skelettreste und Kriegsrelikte aus der näheren Umgebung. Das in den ehemaligen Luftschutzstollen eingerichtete Bergbaumuseum liegt am Ostfuß des Kreuzbergels";"KG St. Peter bei Ebenthal, 72172. Prof.-Dr.-Kahler-Platz 1";"1006, .1007, 891/2";"14,2932, 46,6293";"Fuchs 1981; Ortsakten Bundesdenkmalamt"
"Kärnten";"Klagenfurt am Wörthersee";"Notgräber 1945";"Lagerfriedhof? Drei übereinanderliegende, West-Ost orientierte Körperbestattungen, wohl Notbestattungen eines in der Nähe bestehenden Auffang- und Flüchtlingslagers";"KG Viktring, 72194. Emil-Mende-Gasse 28";"58/155";"14,2745, 46,5878";"Viertler 1979; Ortsakten Bundesdenkmalamt"
"Kärnten";"Lavamünd";"Draukraftwerk Schwabegg";"Arbeitsstätte von Kriegsgefangenen, Zwangsarbeitern und Juden. 1939 200 polnische Kriegsgefangene, später durch belgische, französische und britische Kriegsgefangene ersetzt. Ab 1940 200 Wiener Juden. Östlicher Teil des Draukraftwerkes Schwabegg";"KG Wunderstätten, 77134. Wunderstätten 21";"148, 1160";"14,872574, 46,658083";"Danglmaier und Koroschitz 2015, 293"
"Kärnten";"Lavamünd";"Draukraftwerk Schwabegg";"Kriegsgefangene und Zwangsarbeiter. Kriegsgefangenen- und Zwangsarbeiterlager nahe dem Draukraftwerk. Ein primitives Barackenlager am linken Drau-Ufer, gegenüber Werksiedlung an der Hauptstraße. Genaue Lage unklar";"KG Wunderstätten, 77134";"";"";"Purkhart 2002; Danglmaier und Koroschitz 2015, 293"
"Kärnten";"Lavamünd";"Ettendorf";"Arbeitsstätte von Zwangsarbeitern. 1942 bestand die Mehrheit der Belegschaft des Sägewerks Romanelli aus Zwangsarbeitern. Lage unklar";"KG Ettendorf, 77104";"";"14,948686, 46,671645";"Danglmaier und Koroschitz 2015, 292"
"Kärnten";"Malta";"Arbeitslager Maltatal";"Kriegsgefangene. Arbeitsstätte von sowjetischen Kriegsgefangenen im Steinbruch Kotschach in der KG Dornbach, aber Kapelle mit Massengrab/Friedhof in der";"KG Malta. Lage des Lagers unklar. KG Malta, 73008. Brandstatt";"120";"13,45474, 46,994566";"https://www.malta.gv.at/gemeinde/sehenswertes/ kirchen-im-maltatal-1/die-kapelle-brandstatt.html"
"Kärnten";"Millstatt am See";"Millstatt";"Zivil-/Zwangsarbeiter. Zwangsarbeiterlager für italienische Zivilarbeiter. Lage unklar";"KG Millstatt, 73209";"";"";"Schubert 2002, 87"
"Kärnten";"Millstatt am See";"RAD-Lager Obermillstatt";"Kriegsgefangene. Arbeitsmaiden-Lager 4/224, später aber auch für Kriegsgefangene";"KG Millstatt, 73209. Obermillstatt 124";"291/10";"13,588145, 46,809246";"www.austria-forum. org/af/AustriaWiki/Obermillstatt"
"Kärnten";"Neuhaus";"Draukraftwerk Schwabegg";"Arbeitsstätte für Kriegsgefangene und Juden. 1939 200 polnische Kriegsgefangene in Schwabegg, später durch belgische, französische und englische Kriegsgefangene ersetzt. Ab 1940 auch 200 Wiener Juden. Westlicher Teil des Draukraftwerkes Schwabegg";"KG Schwabegg, 76019. Wunderstätten 21";"105";"14,871416, 46,657753";"Danglmaier und Koroschitz 2015, 293"
"Kärnten";"Neuhaus";"Pfeilerkraftwerk Lavamünd";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeit für Kraftwerksbau, am rechten Drau-Ufer gegenüber Lavamünd. Lage unklar";"KG Pudlach, 76014";"";"";"Purkhart 2002; Mappe Klever Bundesdenkmalamt Kärnten. http://www.kleindenkmaeler.at/detail/torbogen_kraftwerk_lavamuend"
"Kärnten";"Oberdrauburg";"STALAG Oberdrauburg";"Kriegsgefangene. Sowjetische Kriegsgefangene in Oberdrauburg, STALAG XVIII B. Lage unklar";"KG Oberdrauburg, 73115";"";"12,964888, 46,750058";"www.geschichtswerkstratt-stjohann.at"
"Kärnten";"Radenthein";"Radenthein";"Arbeitsstätte von Zwangsarbeitern (Magnesitbergbau). Nach dem Anschluss wurde der Firmenname in Magnesit AG umgewandelt, heute RHI Magnesita GmbH";"KG Radenthein, 73211. Millstätter Straße 10";"607";"13,694208, 46,799914";"Rafetseder 2014, 17. www.geheimprojekte.at/firma_magnesitbergbauradenthein.html"
"Kärnten";"Radenthein";"Radenthein";"Arbeitsstätte von Zwangsarbeitern. Magnesitbergbau";"KG Kaning, 73203";"715/1";"13,64404, 46,846879";"Schubert 2002, 99. www.geheimprojekte.at"
"Kärnten";"Sankt Andrä";"Pölling";"Arbeitsstätte von Zwangsarbeitern. Glimmerbergbau für Röhrenfertigung Funkmessprogramm. Lage unklar";"KG Pölling, 77230";"";"";"Rafetseder 2014, 664. http://www.geheimprojekte.at/bl_kaernten.html"
"Kärnten";"Seeboden am Millstätter See";"Nebenlager Seeblick";"Zwangsarbeiter. Lager auf der Nordseite des Wolfsbergs, genaue Lage unklar";"KG Seeboden, 73212. Niedermayer o. J. a";"";"";""
"Kärnten";"Seeboden am Millstätter See";"Seeboden „Kraut“";"Zwangsarbeiter. Männer-Arbeits- und Erziehungslager unter der Leitung der Gestapo, die Zwangsarbeiter mussten Arbeiten beim Bau der Reichsautobahn und des Autobahntunnels Spittal leisten. Lagerbereich mit Stacheldraht umzäunt, nach 1945 als Sammellager für Flüchtlinge genützt";"KG Seeboden, 73212. Trefflinger Straße";"29/1, .29/2, .38, .39, .41/2, .113, .165, .201, 203/1, 233/4, 233/5, 240/1, 241/2, 241/3, 241/5, 242, 243/2, 244/1, 244/2, 245/1, 245/2, 245/3, 245/4, 245/5, 247/1, 247/2, 247/3, 247/4, 247/5, 247/6, 247/7, 247/8, 247/9, 247/10, 247/11, 248/1, 248/2, 249/1, 249/2, 249/3, 249/4, 249/5, 249/6, 251/2, 251/6, 251/8, 251/10, 251/11, 251/16, 251/18, 252/2, 252/3, 253, 254/1, 254/2, 254/3, 256, 257, 260/1, 260/2, 260/3, 261/2, 261/6, 261/8, 261/9, 261/10, 261/13, 278, 279, 282/1, 282/2, 282/3, 282/4, 282/5, 282/6, 282/7, 282/8, 282/9, 282/10, 282/11, 282/12, 282/13, 283/2, 286/1, 286/2, 287/2, 287/4, 307/1, 1480/1, 1481/1, 1481/2, 1484, 1485/1, 1485/2, 1485/3, 1485/4, 1485/7, 1485/8 u. a";"13,514738, 46,819576";"ITS 1979, 667; Rafetseder 2014, 95, 401, 471–472; Niedermayer 2012. http://www.aegide.at/files/files/Texte/Pirker_Der_Nationalsozialismus_im_Oberen_Drautal.pdf"
"Kärnten";"Seeboden am Millstätter See";"Seeboden Oberlerchner";"Arbeitsstätte von Zwangsarbeitern. Aufträge der Luftwaffe, Teile der Messerschmidt BF 109 und ab 1943 auch Höhen- und Seitenleitwerke. Nach der Befreiung war das Areal eine Tuberkulose-Heilstätte für Displaced Persons der Briten. Auf dem ehemaligen Fabriksareal Seuttersche";"KG Seeboden, 73212";"4/4, 4/5 u. a";"13,497259, 46,818023";"Niedermayer o. J. a; Niedermayer o. J. b"
"Kärnten";"Seeboden am Millstätter See";"Seeboden Wolfsbergtunnel";"Arbeitsstätte von Zwangsarbeitern. Bau des Wolfsbergtunnels (Ost), 1943 Rüstungsproduktion in der leeren Oströhre";"KG Seeboden, 73212";"1721";"13,520468, 46,805726";"Rafetseder 2014, 473; Niedermayer o. J. a"
"Kärnten";"Spittal an der Drau";"Flugzeugwerk Oberlechner";"Arbeitsstätte vom Zwangsarbeitern. Beschäftigung von Kroaten";"";"";"";""
"Kärnten";"Italienern und Niederländern";"Standort zwischen Hallenbad und Bahnhof";"";"KG Spittal an der Drau, 73419. Am Bahndamm 1–4";"701/1, 701/4";"13,487372, 46,793094";"https://www.seeboden.at/fileadmin/dateien/gemeinde/ Chronik/Der_Wolfsbergtunnel/Der_Wolfsbergtunnel.pdf"
"Kärnten";"Spittal an der Drau";"Krieselsdorf";"Arbeitsstätte von Zwangsarbeitern. Trockenlegungsarbeiten im Raum Krieselsdorf, offiziell für Firmen wie die Universale oder Sager & Wörner";"KG Edling, 73404";"";"13,529723, 46,786873";"Rafetseder 2014, 472"
"Kärnten";"Spittal an der Drau";"Nebenlager Edling";"Zwangsarbeiter. Lager mit sieben bis acht Baracken, Lage unklar";"KG Edling, 73404";"";"13,516975, 46,792731";"Rafetseder 2014, 471; Niedermayer o. J. a"
